gene_symbol,Trpa1
analysis_id,63tp97164017586
parameter_id,IMPC_IMM_055_001
mouse_strain,C57BL
parameter_name,NK Subsets (Q2)
pvalue,0.4504709
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
