mouse_life_stage,Late adult
pvalue,0.1464124
parameter_name,Ly6Clow monocyte number
gene_symbol,Hpca
parameter_id,MGP_PBI_038_001
analysis_id,qdyv27w3vbvzvge
mouse_strain,C57BL
gene_accession_id,MGI:1336200
