analysis_id,cf9we956iq48v9c
parameter_name,B cell percentage
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
gene_symbol,Zc2hc1a
pvalue,0.8875169
parameter_id,MGP_PBI_014_001
mouse_strain,C57BL
