analysis_id,1u6p68cg2129bcc
mouse_strain,C57BL
gene_accession_id,MGI:1336200
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_009_001
parameter_name,Fat/Body weight
gene_symbol,Hpca
pvalue,0.7898641
