analysis_id,8g3x014u4ag5d92
gene_accession_id,MGI:1860103
mouse_strain,C57BL
pvalue,0.7823141
parameter_name,Spleen weight
gene_symbol,Slc2a8
parameter_id,UCD_OWT_003_001
mouse_life_stage,Early adult
