analysis_id,t1jm42r24b83m56
mouse_strain,B6J
parameter_name,Ulna
gene_symbol,Nr0b2
pvalue,0.09291994
parameter_id,IMPC_XRY_023_001
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
