analysis_id,py9155q19tk3hvw
gene_symbol,Arpc2
mouse_life_stage,Early adult
parameter_name,Aspartate aminotransferase
parameter_id,IMPC_CBC_012_001
gene_accession_id,MGI:1923959
mouse_strain,129SV
pvalue,0.17593
