parameter_name,Hindpaw - size
analysis_id,i8a2v940f5nq6tl
parameter_id,JAXLA_CSD_041_002
pvalue,0.4870272
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
gene_symbol,Cntfr
mouse_strain,C57BL
