gene_symbol,Opn3
parameter_name,Ly6Clow monocyte number
pvalue,0.2551913
gene_accession_id,MGI:1338022
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,r030k0iy3vb06g9
parameter_id,MGP_PBI_038_001
