gene_symbol,Ilkap
mouse_life_stage,Early adult
gene_accession_id,MGI:1914694
analysis_id,7jwa3l15ms1uojv
parameter_id,IMPC_IMM_069_001
mouse_strain,C57BL
parameter_name,Transitional B Cells (CD21/35 low)
pvalue,0.6411189
