analysis_id,ofxcj95iwu18338
mouse_strain,C57BL
gene_accession_id,MGI:1924054
parameter_name,Body position
pvalue,0.134131
parameter_id,ESLIM_008_001_001
gene_symbol,Kdm4c
mouse_life_stage,Early adult
