parameter_id,JAX_LDT_005_001
mouse_life_stage,Early adult
parameter_name,Time mobile dark side
mouse_strain,129SV
pvalue,0.06323264
gene_accession_id,MGI:99605
gene_symbol,Cntfr
analysis_id,5tx3l7d0449v5gs
