analysis_id,781l73051k0626g
mouse_life_stage,Early adult
parameter_id,ESLIM_001_001_117
pvalue,0.7045458
mouse_strain,C58BL
parameter_name,eye size
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
