analysis_id,98ftu3hyc6r4x82
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
pvalue,0.7695958
mouse_strain,C57BL
parameter_id,MGP_IMM_073_001
gene_symbol,Kdm4c
parameter_name,Effector CD4+ T helper cells - % of CD45+
