gene_symbol,Ddx27
parameter_name,Lumbar processes
gene_accession_id,MGI:2385884
pvalue,0.5224576
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,3862gg5cl3j498p
parameter_id,IMPC_XRY_065_001
