parameter_name,Zygomatic bone
analysis_id,72k10f8hrp60i46
gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_life_stage,Middle aged adult
parameter_id,IMPC_XRY_002_001
mouse_strain,C57BL
pvalue,0.5300096
