gene_symbol,Kcng1
analysis_id,wbfwc9b77603578
parameter_name,B cell number
gene_accession_id,MGI:3616086
pvalue,0.1849561
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_034_001
