analysis_id,8er0p4b2al40bqh
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,JAX_OFD_013_001
pvalue,0.3273949
parameter_name,Periphery average speed
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
