gene_symbol,Mms22l
parameter_id,MGP_IMM_072_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
mouse_strain,C57BL
parameter_name,CD4+ T helper cells - % of CD45+
pvalue,0.6808706
analysis_id,c13di91ag5389cf
