gene_symbol,Snap23
pvalue,0.9047614
parameter_id,ESLIM_011_001_002
mouse_strain,C57BL
parameter_name,PP1 startle magnitude
mouse_life_stage,Late adult
analysis_id,1sw5gwkin01jog6
gene_accession_id,MGI:109356
