analysis_id,cr9c880343385y5
mouse_life_stage,Early adult
pvalue,0.1146334
mouse_strain,C57BL
gene_accession_id,MGI:1919935
parameter_name,Periphery resting time
parameter_id,HRWLLA_OFD_011_001
gene_symbol,Dnajc6
