parameter_id,M-G-P_016_001_001
gene_accession_id,MGI:1929866
analysis_id,02ny6p4809v383p
pvalue,0.8226984
mouse_strain,C57BL
parameter_name,White blood cell-count
mouse_life_stage,Early adult
gene_symbol,RGS20
