gene_symbol,Trp53i11
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_005_001_001
pvalue,0.6205274
analysis_id,1c0s6u336ts6s94
parameter_name,Weight
gene_accession_id,MGI:2670995
