analysis_id,5ft63747n89dmce
pvalue,0.5316672
mouse_life_stage,Early adult
gene_accession_id,MGI:1914836
mouse_strain,C57BL
gene_symbol,Ubxn11
parameter_name,Hemorrhage
parameter_id,IMPC_GEO_009_002
