analysis_id,p3b4yu855l00yw4
pvalue,0.5102944
parameter_name,PP4 + pulse startle magnitude
mouse_strain,C57BL
gene_symbol,Ufc1
parameter_id,ESLIM_011_001_010
gene_accession_id,MGI:1913405
mouse_life_stage,Early adult
