parameter_name,Corneal vascularization
parameter_id,IMPC_EYE_009_001
mouse_life_stage,Early adult
analysis_id,2f5pc2mgq4n5z58
gene_symbol,Secisbp2l
pvalue,0.05657298
mouse_strain,C57BL
gene_accession_id,MGI:1917604
