parameter_name,Prepulse inhibition - PP2
mouse_life_stage,Early adult
analysis_id,m09984827n8e7ei
parameter_id,ESLIM_011_001_702
pvalue,0.3751721
gene_symbol,Usp37
gene_accession_id,MGI:2442483
mouse_strain,C57BL
