analysis_id,264r9i6160e0o49
gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_name,ST
pvalue,0.3608859
parameter_id,IMPC_ECG_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
