parameter_name,DN CD44+CD62L- NKT cells
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_046_001
analysis_id,25p3kw17b8zrccx
mouse_strain,C57BL
pvalue,0.5217986
gene_accession_id,MGI:99501
gene_symbol,Fgb
