gene_symbol,Sfpq
parameter_name,Snout size
parameter_id,IMPC_CSD_028_001
analysis_id,khs7m5z959370hy
pvalue,0.2925109
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
mouse_strain,C57BL
