analysis_id,a7x80062861t9qw
pvalue,0.3244499
gene_symbol,Lamb3
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_036_001
gene_accession_id,MGI:99915
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI4
