parameter_name,Pericardium Morphology
mouse_life_stage,Early adult
gene_symbol,Arpc2
parameter_id,IMPC_GEL_006_001
analysis_id,6t079g743666zor
mouse_strain,C57BL
gene_accession_id,MGI:1923959
pvalue,0.5493461
