parameter_name,Mean platelet volume
mouse_strain,C57BL
gene_symbol,Rab3gap2
analysis_id,k3y1235upw0cyc6
gene_accession_id,MGI:1916043
pvalue,0.7350476
parameter_id,IMPC_HEM_019_001
mouse_life_stage,Early adult
