analysis_id,l5mwj3eb3x15f1g
mouse_strain,C57BL
parameter_id,IMPC_EYE_056_001
parameter_name,Mean left eye lens density
gene_symbol,Tiprl
mouse_life_stage,E9.5
gene_accession_id,MGI:1915087
pvalue,0.8501063
