parameter_id,IMPC_IMM_025_001
gene_symbol,Tubb4b
mouse_strain,C57BL
analysis_id,wj2a8924glw1pp0
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
pvalue,0.4623261
parameter_name,DN CD25- NKT cells
