parameter_name,Fractional Shortening
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_005_001
analysis_id,c9202q8578e4o06
gene_symbol,Trim46
pvalue,0.8154368
mouse_strain,C57BL
gene_accession_id,MGI:2673000
