gene_symbol,Atg4c
pvalue,0.5735859
parameter_name,Respiration Rate
mouse_strain,C57BL
analysis_id,96520346012eof5
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_018_001
