analysis_id,7q848m15r0740wt
pvalue,0.06447185
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_015_001
mouse_strain,C57BL
gene_symbol,Sema6c
mouse_life_stage,Early adult
gene_accession_id,MGI:1338032
