analysis_id,jbf34y7a9j9e017
pvalue,0.3568334
parameter_id,IMPC_OFD_017_001
parameter_name,Center average speed
mouse_life_stage,E12.5
gene_accession_id,MGI:95457
gene_symbol,Mecom
mouse_strain,C57BL
