parameter_name,NK cell number
gene_symbol,Nipal3
mouse_life_stage,Early adult
analysis_id,4l4p0n699529k8j
pvalue,0.3713666
gene_accession_id,MGI:1921802
mouse_strain,129SV
parameter_id,MGP_PBI_027_001
