gene_symbol,Bdh2
gene_accession_id,MGI:1917022
pvalue,0.2399018
parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
analysis_id,hk8nr8uq9ou4z8b
mouse_strain,C57BL
mouse_life_stage,Early adult
