parameter_name,DN CD44+CD62L+ NKT cells
mouse_strain,C57BL
gene_accession_id,MGI:1915087
analysis_id,7d2ou35ml56htcx
mouse_life_stage,Early adult
pvalue,0.2352488
gene_symbol,Tiprl
parameter_id,IMPC_IMM_047_001
