parameter_name,Center resting time
gene_accession_id,MGI:2651854
gene_symbol,Atg4c
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,02u6gfi7t767fl0
parameter_id,JAX_OFD_015_001
pvalue,0.1392118
