gene_symbol,Rgs20
parameter_name,Ly6Clow monocyte number
gene_accession_id,MGI:1929866
pvalue,0.7263735
parameter_id,MGP_PBI_038_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,3b964e29qdpsxie
