analysis_id,d4e39b5x08th2xj
pvalue,0.08507021
mouse_life_stage,Late adult
gene_accession_id,MGI:109128
mouse_strain,C57BL
parameter_name,Startle Response
parameter_id,M-G-P_008_001_013
gene_symbol,Hnf4a
