analysis_id,89781c9lw51u8w2
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:1921802
parameter_name,Center average speed
pvalue,0.4576484
gene_symbol,Nipal3
parameter_id,IMPC_OFD_017_001
