parameter_name,B1B Cells
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,j97b5s9ml07cq2z
pvalue,0.1992138
gene_accession_id,MGI:88461
gene_symbol,COL6A3
parameter_id,IMPC_IMM_064_001
