parameter_id,HMGULA_HWT_008_001
mouse_life_stage,Early adult
parameter_name,Heart weight
analysis_id,10gv78xh613s846
gene_symbol,Slc2a8
mouse_strain,C57BL
pvalue,0.818711
gene_accession_id,MGI:1860103
