analysis_id,ia54ay14tw334pv
mouse_strain,C57BL
pvalue,0.6322516
gene_symbol,Zyg11b
parameter_id,M-G-P_014_001_001
parameter_name,Eye
gene_accession_id,MGI:2685277
mouse_life_stage,E18.5
