parameter_name,Glucose response AUC
parameter_id,ESLIM_004_001_701
mouse_strain,C57BL
pvalue,0.2170464
gene_accession_id,MGI:1916043
analysis_id,emw8251283s9gyz
gene_symbol,Rab3gap2
mouse_life_stage,Early adult
