analysis_id,c8hiy59vvx7m404
parameter_name,Creatinine
gene_accession_id,MGI:2441730
pvalue,0.8816609
mouse_strain,C57BL
gene_symbol,Tbl1xr1
parameter_id,JAX_URI_002_001
mouse_life_stage,Early adult
