analysis_id,680rrfdk38a9512
parameter_name,Neutrophils
gene_accession_id,MGI:1336200
mouse_strain,C57BL
pvalue,0.06390926
mouse_life_stage,Late adult
parameter_id,IMPC_IMM_050_001
gene_symbol,Hpca
