analysis_id,01mfd8ep21bc030
parameter_name,Right kidney weight
mouse_strain,129SV
parameter_id,IMPC_OWT_004_001
pvalue,0.5560659
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
gene_symbol,Zmynd8
