parameter_name,Basophil cell count
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6839773
gene_accession_id,MGI:1921442
analysis_id,l43wh9115704fpi
gene_symbol,Arpc5l
parameter_id,IMPC_HEM_037_001
