Analysis_id,397x8g4s6p0ah7n
gene_symbol,Mapkap1
Pvalue,0.1981665
parameter_name,Conditioning Baseline % Freezing Time
Mouse_life_stage,Early adult
parameter_id,IMPC_FEA_003_001
mouse_strain,C57BL
gene_accession_id,MGI:2444554
