parameter_name,Percent time in light
pvalue,0.392144
gene_symbol,Atf3
analysis_id,8491hyb7w9jv7ex
parameter_id,IMPC_LDT_008_001
mouse_strain,C57BL
gene_accession_id,MGI:109384
mouse_life_stage,Early adult
