gene_symbol,Sla2
mouse_strain,C57BL
gene_accession_id,MGI:1925049
pvalue,0.4594609
mouse_life_stage,Early adult
analysis_id,x39416do97r563c
parameter_name,Lower teeth appearance
parameter_id,IMPC_CSD_070_001
