analysis_id,qdp8u35w546qlpr
gene_accession_id,MGI:1338022
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_033_001
gene_symbol,Opn3
parameter_name,Gait
mouse_strain,C57BL
pvalue,0.5370409
