analysis_id,yq70o3ccndbwwye
mouse_life_stage,Early adult
parameter_id,MGP_PBI_031_001
mouse_strain,129SV
pvalue,0.6406333
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
parameter_name,KLRG1+ mature NK cell number
