analysis_id,0ir4mxf3i6r53h3
gene_accession_id,MGI:88174
pvalue,0.3775295
gene_symbol,Bmi1
parameter_id,JAX_LDT_005_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Time mobile dark side
