parameter_name,Center average speed
mouse_strain,C57BL
gene_symbol,Tiprl
pvalue,0.2353679
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
parameter_id,JAXLA_OFD_017_001
analysis_id,75la05x8wy44ekx
