analysis_id,99fjoh23hbnnm3m
mouse_life_stage,Early adult
gene_symbol,Gpbp1l1
gene_accession_id,MGI:1924360
mouse_strain,C57BL
parameter_id,IMPC_IMM_065_001
pvalue,0.1322579
parameter_name,B2B Cells
