analysis_id,hgdgxm5b2xr1n25
parameter_id,MGP_IMM_017_001
pvalue,0.9394174
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
mouse_strain,129SV
gene_symbol,Bpifa3
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
