parameter_name,Red blood cell count
parameter_id,ESLIM_016_001_002
mouse_strain,C57BL
pvalue,0.7680587
mouse_life_stage,Early adult
gene_symbol,Wars2
gene_accession_id,MGI:1917810
analysis_id,37388023be1y636
